id,name,resorts,land,note,hidden,only_here,source,claude_check
zootopia,Zootopia,shdr,shdr: Zootopia,"A whole themed land, and the only one anywhere.",,yes,shipped,
mystic-manor,Mystic Manor,hkdl,hkdl: Mystic Point,"Hong Kong's own take on the haunted-house idea — no Doom Buggies, a different story entirely.",,yes,shipped,
journey-center-earth,Journey to the Center of the Earth,tdr,tdr: Mysterious Island,Tokyo DisneySea only.,,yes,shipped,
radiator-springs-racers,Radiator Springs Racers,dlr,dlr: Cars Land,,,yes,shipped,
guardians-cosmic-rewind,Guardians of the Galaxy: Cosmic Rewind,wdw,wdw: World Discovery,,,yes,shipped,
pirates-sunken-treasure,Pirates of the Caribbean: Battle for the Sunken Treasure,shdr,shdr: Treasure Cove,Shares a name with the Pirates rides elsewhere and is a completely different attraction.,,yes,shipped,
ratatouille,Ratatouille,wdw dlp,wdw: World Showcase (France Pavilion); dlp: Worlds of Pixar,"Remy's Ratatouille Adventure at EPCOT, Ratatouille: L'Aventure Totalement Toquée at Walt Disney Studios.",,,shipped,
tron,TRON Lightcycle / Run,wdw shdr,wdw: Tomorrowland; shdr: Tomorrowland,,,,shipped,
rise-of-the-resistance,Star Wars: Rise of the Resistance,wdw dlr,wdw: Star Wars: Galaxy's Edge; dlr: Star Wars: Galaxy's Edge,,,,shipped,
crush-coaster,Crush's Coaster,dlp,dlp: Worlds of Pixar,,,yes,shipped,
magic-kingdom-main-street,"Main Street, U.S.A.",wdw,"wdw: Main Street, U.S.A.",Walt Disney World — Magic Kingdom land.,,,expanded-2026,
magic-kingdom-adventureland,Adventureland,wdw,wdw: Adventureland,Walt Disney World — Magic Kingdom land.,,,expanded-2026,
magic-kingdom-frontierland,Frontierland,wdw,wdw: Frontierland,Walt Disney World — Magic Kingdom land.,,,expanded-2026,
magic-kingdom-liberty-square,Liberty Square,wdw,wdw: Liberty Square,Walt Disney World — Magic Kingdom land.,,,expanded-2026,
magic-kingdom-fantasyland,Fantasyland,wdw,wdw: Fantasyland,Walt Disney World — Magic Kingdom land.,,,expanded-2026,
magic-kingdom-tomorrowland,Tomorrowland,wdw,wdw: Tomorrowland,Walt Disney World — Magic Kingdom land.,,,expanded-2026,
magic-kingdom-storybook-circus,Storybook Circus,wdw,wdw: Fantasyland (Storybook Circus),Walt Disney World — Magic Kingdom area.,,,expanded-2026,
epcot-world-celebration,World Celebration,wdw,wdw: World Celebration,Walt Disney World — EPCOT neighborhood.,,,expanded-2026,
epcot-world-discovery,World Discovery,wdw,wdw: World Discovery,Walt Disney World — EPCOT neighborhood.,,,expanded-2026,
epcot-world-nature,World Nature,wdw,wdw: World Nature,Walt Disney World — EPCOT neighborhood.,,,expanded-2026,
epcot-world-showcase,World Showcase,wdw,wdw: World Showcase,Walt Disney World — EPCOT neighborhood.,,,expanded-2026,
hollywood-studios-hollywood,Hollywood Boulevard,wdw,wdw: Hollywood Boulevard,Walt Disney World — Hollywood Studios area.,,,expanded-2026,"Missing lands worth adding at Hollywood Studios: Sunset Boulevard (wdw-tower refers to it), Animation Courtyard, Grand Avenue."
hollywood-studios-echo-lake,Echo Lake,wdw,wdw: Echo Lake,Walt Disney World — Hollywood Studios area.,,,expanded-2026,
hollywood-studios-galaxys-edge,Star Wars: Galaxy's Edge,wdw dlr,wdw: Star Wars: Galaxy's Edge; dlr: Star Wars: Galaxy's Edge,Shared land at Walt Disney World and Disneyland Resort.,,,expanded-2026,
hollywood-studios-toy-story,Toy Story Land,wdw shdr hkdl,wdw: Toy Story Land; shdr: Disney•Pixar Toy Story Land; hkdl: Toy Story Land,Toy Story-themed land found at multiple Disney destinations.,,,expanded-2026,
animal-kingdom-discovery-island,Discovery Island,wdw,wdw: Discovery Island,Walt Disney World — Animal Kingdom area.,,,expanded-2026,
animal-kingdom-pandora,Pandora – The World of Avatar,wdw,wdw: Pandora – The World of Avatar,Walt Disney World — Animal Kingdom land.,,,expanded-2026,
animal-kingdom-africa,Africa,wdw,wdw: Africa,Walt Disney World — Animal Kingdom land.,,,expanded-2026,
animal-kingdom-asia,Asia,wdw,wdw: Asia,Walt Disney World — Animal Kingdom land.,,,expanded-2026,
animal-kingdom-dino,DinoLand U.S.A.,wdw,wdw: DinoLand U.S.A.,Walt Disney World — Animal Kingdom area.,,,expanded-2026,Worth checking: DinoLand U.S.A. is being replaced by Tropical Americas.
disneyland-main-street,"Main Street, U.S.A.",dlr,"dlr: Main Street, U.S.A.",Disneyland Park land.,,,expanded-2026,
disneyland-adventureland,Adventureland,dlr,dlr: Adventureland,Disneyland Park land.,,,expanded-2026,
disneyland-new-orleans,New Orleans Square,dlr,dlr: New Orleans Square,Disneyland Park land.,,,expanded-2026,
disneyland-frontierland,Frontierland,dlr,dlr: Frontierland,Disneyland Park land.,,,expanded-2026,
disneyland-fantasyland,Fantasyland,dlr,dlr: Fantasyland,Disneyland Park land.,,,expanded-2026,
disneyland-tomorrowland,Tomorrowland,dlr,dlr: Tomorrowland,Disneyland Park land.,,,expanded-2026,
disneyland-toontown,Mickey's Toontown,dlr,dlr: Mickey's Toontown,Disneyland Park land.,,,expanded-2026,
dca-buena-vista,Buena Vista Street,dlr,dlr: Buena Vista Street,Disney California Adventure area.,,,expanded-2026,
dca-hollywood-land,Hollywood Land,dlr,dlr: Hollywood Land,Disney California Adventure area.,,,expanded-2026,
dca-grizzly-peak,Grizzly Peak,dlr,dlr: Grizzly Peak,Disney California Adventure land.,,,expanded-2026,
dca-pacific-wharf,San Fransokyo Square,dlr,dlr: San Fransokyo Square,Current Disney California Adventure area.,,,expanded-2026,
dca-cars-land,Cars Land,dlr,dlr: Cars Land,Distinctive Cars-themed land at Disney California Adventure.,,yes,expanded-2026,
dca-avengers-campus,Avengers Campus,dlr dlp,dlr: Avengers Campus; dlp: Marvel Avengers Campus,Marvel-themed land at Disneyland Resort and Disneyland Paris.,,,expanded-2026,
dca-pixar-pier,Pixar Pier,dlr,dlr: Pixar Pier,Disney California Adventure area.,,,expanded-2026,
dca-paradise-gardens,Paradise Gardens Park,dlr,dlr: Paradise Gardens Park,Disney California Adventure area.,,,expanded-2026,
dlp-main-street,"Main Street, U.S.A.",dlp,"dlp: Main Street, U.S.A.",Disneyland Park Paris land.,,,expanded-2026,
dlp-frontierland,Frontierland,dlp,dlp: Frontierland,Disneyland Park Paris land.,,,expanded-2026,
dlp-adventureland,Adventureland,dlp,dlp: Adventureland,Disneyland Park Paris land.,,,expanded-2026,
dlp-fantasyland,Fantasyland,dlp,dlp: Fantasyland,Disneyland Park Paris land.,,,expanded-2026,
dlp-discoveryland,Discoveryland,dlp,dlp: Discoveryland,Disneyland Park Paris land.,,,expanded-2026,
daw-world-of-frozen,World of Frozen,dlp hkdl,dlp: World of Frozen; hkdl: World of Frozen,Frozen-themed land at Disneyland Paris and Hong Kong Disneyland; Paris opened in 2026.,,,expanded-2026,
daw-worlds-of-pixar,Worlds of Pixar,dlp,dlp: Worlds of Pixar,Disney Adventure World — immersive Pixar area.,,,expanded-2026,
